rime,blank,acute,grave,hook,tilde,dot,total
total,0.22219367283227123,0.2572722170512369,0.2096055429430368,0.12211074822704024,0.04464111940404226,0.14260541023475173,0.9984287106923792
a,0.010645515839880897,0.13398750033565612,0.0033402833397554186,0.0028674745817718885,0.009564708868783816,0.0009677530939270636,0.16137323605977522
o,0.015724201913226998,0.001040868500187319,0.03991076128423664,0.0012727951289250462,0.0005951800421346607,0.0010767117459291157,0.059620518614639774
ua,0.0010550132887308273,0.0005560245985154036,0.0004273316786670552,0.05311958805813558,0.00014082388650878532,0.00021504850101883912,0.05551383001157649
ông,0.02505940620957026,0.004759517957481553,0.0017359737366271406,0.0008622451525362251,0.00016553332335013214,0.0022321194467320817,0.034814795826297394
ac,0,0,0.029175834088815036,0,0,0.0011112979842375652,0.0302871320730526
i,0.011255953748821197,0.00364198621861941,0.002255133737424518,0.00268949364027304,0.0012321153735952472,0.006027645922580277,0.027102328641313688
ê,0.0014873653848318188,0.0070404407780309845,0.003061571205707104,0.010239057020977847,0.0006198690493046446,0.0016660682657311644,0.024114371704583564
ươc,0,0,0.004103098786869846,0,0,0.01812648234488987,0.022229581131759716
ai,0.0033193830119374428,0.002147920831023631,0.0018991744679293851,0.004145608948322069,0.000917273113086551,0.00864043834995989,0.02106979872225897
ong,0.01660253305041436,0.0014407169211909153,0.0011033437240704513,0.0004917165518605635,0.0002278769316974693,0.0010175050281193791,0.020883692207353137
ơi,0.0012250068643364076,0.0025763832781506347,0.012121082869752902,0.0006611150504347179,2.3929154037704996e-05,0.0006805438197203372,0.017288061036432704
inh,0.004393845764102298,0.005518824053382919,0.0025274017209768558,0.0012114759053219533,0.0005770518038492382,0.00247467556572732,0.016703274813360584
ư,0.004447246213517068,0.004245060828441041,0.0011693343459055455,0.0014909446776221345,0.0011268931479442481,0.003646942066668316,0.016126421280098353
iên,0.003992889714267364,0.0018252281571030733,0.0019352855503392712,0.0012266625899345256,0.0009362382851854537,0.00524000797532983,0.015156312272159517
ân,0.005847811145889688,0.003046143114786088,0.0014271968123485837,0.0006679177183379981,0.0012662293983925457,0.002500701908903533,0.014756000098658437
an,0.0056655567604260906,0.001491440259737866,0.0026210890748176647,0.0024915479610291146,0.0003225200858693198,0.0020763289085458346,0.01466848305042589
ay,0.003213489650516579,0.00830040298988558,0.0010221588942409612,0.0007339400124327848,0.00028832334175766936,0.0005383579996851609,0.014096672888518735
ao,0.003343171718400196,0.004701449299251826,0.0024443880819022944,0.001679043624393698,0.00038726361082166863,0.0015248016950794474,0.014080118029849131
ôi,0.005704891017977091,0.0011773689644328802,0.0023701624065658603,0.0009095152141002811,0.0007094725233215439,0.0030670904865883033,0.01393850061298596
ơ,0.0026582414135055874,0.0016465981296716536,0.0006655324676146803,0.006779790311852318,0.0007717090208876062,0.0012535783947896502,0.013775449738321496
ung,0.002917126376885042,0.0024200176294321544,0.0014930205309800799,0.0005716778893855041,0.0050856552268381035,0.0011765355896942477,0.013664033243215131
anh,0.004653206008444249,0.004487031350333067,0.0015046689127537391,0.0013865893808169998,0.00035551701147929106,0.001148628811882143,0.013535641475709488
ô,0.0022466368201316898,0.0010471925454568324,0.003226836870684945,0.002018601465815574,0.0010027631280597803,0.003387280917163185,0.012929311747312006
ên,0.0056486447743775755,0.00044435535008170945,0.006245965603809869,0.00012445179553815893,1.5349532833882764e-05,0.00015889286621110016,0.012637659922852295
ưng,0.0023192820156246207,0.0012442922195713842,0.0010772471438743997,0.0002592858145965463,0.006911340458683099,0.0005742107624523294,0.012385658414802379
ương,0.0033047366175222516,0.004937007555928516,0.0008956721491469451,0.0012126562899888393,0.0004096448181008198,0.0015703508767553106,0.012330068307442682
ươi,0.00031173834992916907,0.010886447777872966,0.00047999839662715027,0.00015170751097796733,0.00011862301882605938,4.1995154081822246e-05,0.011990510208315135
iêu,0.0017781361560141214,0.006203715774811947,0.0010410919516172052,0.0009878838533724024,0.00021913168102402373,0.0015028425582998702,0.011732801975139569
ang,0.0033003468871529757,0.003335106876345793,0.0019325893908119045,0.0010734093447222284,0.0003937825693936981,0.0009783737044989174,0.011013608772925516
u,0.0025069460808345525,0.0011277367915162278,0.0011750093111196716,0.002686572295850294,0.0008227569540786662,0.00251622686078172,0.010835248294181131
am,0.0032307832739585933,0.003787093713731038,0.0011897470996042074,0.0012901546995533423,0.00010863744792915221,0.0011618821399311076,0.010768298374707441
ôt,0,0,0.0011511243018602327,0,0,0.009384604535838895,0.010535728837699128
e,0.0022784934597598954,0.0007927735421708297,0.0009219567739961296,0.001642852602007135,0.0026613313741958708,0.0007326829469441309,0.00903009069907399
âu,0.001519335626833193,0.0037825197144445957,0.0011747078226488643,0.000646842646053181,0.0003758030177930948,0.0008056760545036899,0.008304884882276618
ây,0.0028200382478268675,0.0007577671084788264,0.0018689950557763768,0.0006018257100807937,0.00030660631390081713,0.0008213643195311542,0.007176596755594836
ăm,0.005001831376938726,0.0006211546933137631,0.0008353043290035713,8.176426534940537e-05,5.183337230998204e-05,0.00019642349825530292,0.006788311535170751
ăng,0.0025439765500373888,0.0014646230588774396,0.0008735925247313124,0.0007618575940966901,0.0002562955517775887,0.000678781100247261,0.00657912637976768
ât,0,0,0.00449991588539726,0,0,0.0015130473850220529,0.006012963270419313
on,0.002460589670107427,0.0019349256296502357,0.0005737441245230552,0.0001567139143222965,6.989574137810055e-05,0.0007131632057747904,0.005909032285755906
âm,0.0018769340396107437,0.0010977622221349354,0.0008448223744151551,0.001050164590963972,0.00036769569934408787,0.0006425753221258032,0.0058799542485946975
ưc,0,0,0.0028488845913085432,0,0,0.002997443072008375,0.005846327663316919
iêt,0,0,0.0031074451305849325,0,0,0.0026073833144282478,0.005714828445013181
eo,0.003390584210229532,0.000626423171997178,0.000692174118711429,0.0003345396017161631,0.00014018214002306753,0.00040519737873824274,0.005589100621415612
ưa,0.0016963436367338652,0.0009020677549841071,0.0006903968280423809,0.0008342458447287413,0.0009464693835929604,0.0005010136123719412,0.005570537060453996
uyên,0.00520330681127595,0,0,0,0,0,0.00520330681127595
ăn,0.0027060337904029077,0.00046860171550860036,0.0010428640341776027,0.00021705163728047208,0.0001789657030735957,0.0005040779057598173,0.0051175947862029956
oc,0,0,0.0010585859560363537,0,0,0.0037838330403651803,0.004842418996401534
y,0.0010337690981073932,0.0005670563773411836,0.0015564672692997624,0.0005980618357012278,0.0007896468994868238,0.00017621746844417922,0.00472121894838057
oi,0.0007221231147830317,0.0005308045304436643,0.0015685705278579132,0.0008885498814032086,0.0002155290364118699,0.0006661870373426797,0.004591764128242367
iêm,0.0008639394973658892,0.00039265981202382,0.0006154406274342376,0.0014536634318301732,0.00022554554022838547,0.000955746821468011,0.004506995730350517
iêc,0,0,0.0005411473402590051,0,0,0.0038057878259247476,0.004346935166183752
au,0.002760204562879076,0.000700022576150779,0.000652427130047892,5.550118674220939e-05,0,3.1306855840246364e-05,0.004199462311660203
ơn,0.0024938510466005846,0.000269216623469407,0.0007816113304452133,0.00013850264065817677,9.748296514980662e-05,0.0002590000125088953,0.004039664618832084
âp,0,0,0.0018134122988496836,0,0,0.002041059489191099,0.0038544717880407827
at,0,0,0.0026751060373973044,0,0,0.0011099458099175924,0.003785051847314897
uc,0,0,0.0016046518468127197,0,0,0.0020926401694946303,0.00369729201630735
ôn,0.0012715770185773084,0.0006246857479905885,0.0007836781445943473,0.0004075984446832189,7.094060984802227e-05,0.0003843584881119857,0.003542838453805471
oan,0.0006410686177732654,0.0014336721181209744,0.00048681340279787194,0.00030318580380530474,0.00018584898064912195,0.0004720018496636262,0.0035225907728101647
ach,0,0,0.002524338437593051,0,0,0.0008924224173446985,0.0034167608549377495
oa,0.001030323529132301,0.0005636377461217504,0.0008415637538374907,0.0002920061525941947,9.857280316593966e-05,0.0002937074368677935,0.00311981142171947
ia,0.000918294303097061,0.00031325686551136905,0.0005654356818784031,0.0002784997512011365,0.00033613777665972045,0.0006800860675002651,0.003091710445847955
uôc,0,0,0.0018756754155015592,0,0,0.0011003441372015694,0.002976019552703129
in,0.001572816525696104,0.0005798493919312429,0.0005071916315475015,0.00010547237668739918,0,0.00020833745686930932,0.0029736673827315567
uy,0.0014574354394798802,0.0001853650105664595,0.0003485145013299576,0.0005419378469671736,5.50744435899054e-05,0.00027328447498582253,0.002861611716919199
ui,0.0007243739705600339,0.0005913484737242407,0.0005041699354098779,0.00043167382490898757,0.0002546804268512654,0.00035502124353473997,0.002861267874989145
ăt,0,0,0.0015194518231279146,0,0,0.001245790097328294,0.0027652419204562085
en,0.0011437015224075894,0.0005236124119807223,0.0004750543735954067,0.00014487770666221018,0.0001418036730188195,0.0003186974371037942,0.0027477471247685423
em,0.001644309982019709,0.00036484640401132455,0.0004468284626459597,0.00011964117065985936,5.7775282773449765e-05,0.000112374872290189,0.0027457761744004916
ich,0,0,0.0014309727371921497,0,0,0.0013085234253351365,0.002739496162527286
uôi,0.0004082969879488753,0.0001529628952997079,0.0005688111270374584,0.0010493824235720747,0.00016222370246459454,0.00012572769520729284,0.0024674048315300036
iêp,0,0,0.0011733952358249655,0,0,0.0012733644033391315,0.0024467596391640973
ăc,0,0,0.0015937463724201698,0,0,0.0008376116796760353,0.002431358052096205
oai,0.0002475725757097024,0.0008933390883482868,0.0003125566152759768,0.00016443787932235354,0,0.0007721301643178516,0.002390036322974171
ênh,0.0005232925196250203,0.00035184275894573655,0.00016500045212583552,9.613206277217292e-05,7.5613242003073e-05,0.0010892169595146841,0.002301097994986522
uân,0.0005365155766600877,0.00030650359331833,0.0002947986258245575,0.00043448457823572743,0.00012982635326853456,0.0005251141695717597,0.002227242896878997
iêng,0.000758350603799923,0.0003242757236849801,0.000646250547888004,0.00013388915970336663,7.668614332490009e-05,0.00010396473034999477,0.0020434169087511687
êt,0,0,0.0016534186189848647,0,0,0.00038384501759620776,0.0020372636365810727
im,0.0010596226956112369,0.0005369117058383233,0.0002326677711918579,0.00013586540882435465,2.3891308561368817e-05,3.150862088576233e-05,0.0020204675109129037
ap,0,0,0.0013958424593253354,0,0,0.0005433435592305267,0.001939186018555862
ôc,0,0,0.0011947612360018085,0,0,0.0007109262719909995,0.001905687507992808
ưu,0.0007125975305577916,9.25692347384715e-05,0.0004540995337807384,0.00014782239779062835,0.00023565962548087566,0.00022252764369889733,0.0018652759660474029
om,0.0006066487174118839,0.00033009345829058755,0.0005146376765206823,0.00020161810580193894,0.00014883162288193194,3.387369351083824e-05,0.001835703274417863
êu,0.0004816479504108975,0.0005406361175943225,0.000636285660639609,4.7471191557874035e-05,3.910453455251401e-05,3.8572995938981956e-05,0.0017837184506941989
uông,0.00048689526968457246,0.0004080933652945319,0.0005941397596014984,9.164946756225626e-05,5.988880420185307e-05,0.00014199349335412273,0.0017826601596988348
oang,0.0003159418651765751,0.00040343654581600927,0.00024563494463601654,0.0006565775846932583,5.5454778767790924e-05,9.435716924318669e-05,0.0017714028883328368
ơp,0,0,0.0004815075740984456,0,0,0.0012449350293405968,0.0017264426034390423
uât,0,0,0.0009936487920950664,0,0,0.0007150169232736018,0.0017086657153686682
un,0.0006170510238749091,0.0003860649469353317,0.000294147213298841,0.000167705058030478,6.134189267410211e-05,0.0001586957898186236,0.0016850059246322855
ôm,0.0006736005596458908,0.00039016296630241774,0.0002475422183417262,0.00014938520228679304,0,0.00019050429371518263,0.0016511952402920105
um,0.0004454941645370206,0.00042614276406866447,0.00034112404333296417,8.613471774102059e-05,5.740173629088396e-05,0.00026680996367670307,0.0016231073896472569
uôn,0.000591740642756044,0.00044156064068984934,0.0004817097099498439,0,0,0.00010697647849476145,0.0016219874718904988
ut,0,0,0.0011171139827492191,0,0,0.0004922972101032326,0.0016094111928524517
et,0,0,0.0010734938190533883,0,0,0.00045981542922697035,0.0015333092482803586
iu,0.00038811232579014386,0.00022341501746752447,0.0002889738395991043,0.00015720642857881375,7.674513449044414e-05,0.00037970234422556373,0.0015141550901515942
ep,0,0,0.0008530985130510093,0,0,0.0005564513705760649,0.0014095498836270742
it,0,0,0.0008147059140407989,0,0,0.0005522841291898189,0.0013669900432306177
ot,0,0,0.0006533266628212012,0,0,0.0006354396777493257,0.0012887663405705269
ăp,0,0,0.0007682073837550424,0,0,0.00044624136288632304,0.0012144487466413654
ơm,0.00038685553712186995,0.0001100526142597076,0.0003072511865764172,0.0001288042290366674,5.340124864900525e-05,0.00011094358817471852,0.001097308403818386
êm,0.0006692469594552983,0.0001685230868050459,0.00011676081603669986,1.7907355070722844e-05,1.9560290731153974e-05,9.172595371216407e-05,0.001083724461811085
oat,0,0,0.00040363422759333685,0,0,0.0006632951918001578,0.0010669294193934946
up,0,0,0.0007062421002751926,0,0,0.00035685143764602645,0.001063093537921219
oanh,0.0008238626710063922,7.214201733808816e-05,2.307286312298023e-05,9.866376882755183e-05,0,3.4517494970800785e-05,0.0010522588152658133
uê,0.0002585199785748541,6.535499446238142e-05,0.0003478853245472533,5.1361541906447374e-05,0,0.00022913134498405726,0.0009522531844749935
ơt,0,0,0.0005225623954504216,0,0,0.0003618458757557879,0.0008844082712062096
âng,0.00040677235856038924,0.0002421565197348215,7.344433634197558e-05,2.6350095114033986e-05,8.81410855778716e-05,0,0.0008368643953290919
oe,0.00033634437570340977,0.00012812363062074113,0.0001212286628854276,0.0001708286457069764,0,6.108725482286743e-05,0.0008176125697394223
ôp,0,0,0.0003289759829512824,0,0,0.00048527014335664166,0.000814246126307924
op,0,0,0.0005065700705775638,0,0,0.00026565203127924315,0.000772222101856807
ươn,0.0002445401054493489,0.00025619870810670973,9.232732572039098e-05,1.5815574587588748e-05,2.0685237029072452e-05,0.00012630212208641377,0.0007558690729795246
ươt,0,0,0.00021948137767607883,0,0,0.0005026752210389257,0.0007221565987150045
uyêt,0.0006932592460361102,0,0,0,0,0,0.0006932592460361102
uôt,0,0,0.0003559009150962969,0,0,0.000326346039129955,0.0006822469542262519
oong,0.00033787262796580275,0.00011179238914693914,8.162413345446039e-05,3.1753012488052746e-05,0,8.314309619577719e-05,0.0006461852592510322
ip,0,0,0.0002762038263575329,0,0,0.00036534938214733407,0.000641553208504867
eng,0.00035448114657454164,7.481309526073339e-05,8.594512769493194e-05,7.816828824869751e-05,0,0,0.0005934076577789045
ưt,0,0,0.000453639914348331,0,0,7.215679257628522e-05,0.0005257967069246162
êch,0,0,0.00027837578041823316,0,0,0.00023655311106784334,0.0005149288914860765
ươm,0.00015644334378272755,0.00016176691675152765,8.834700495767938e-05,0,0,5.9561690214838864e-05,0.00046611895570677344
êp,0,0,0.000370967191078072,0,0,7.498356387082605e-05,0.00044595075494889807
âc,0,0,0.00029575787236145587,0,0,0.0001232738293545918,0.0004190317017160477
oăc,0,0,6.531577603202478e-05,0,0,0.00033329905430269874,0.00039861483033472355
ec,0,0,0.0002423513159789642,0,0,0.00011038832629324777,0.000352739642272212
uynh,0.0001784279715034521,0.0001267531719841539,4.514832679498207e-05,0,0,0,0.00035032947028258807
ưi,0,0,0,0.0002950019822373391,0,0,0.0002950019822373391
oay,0.00016934295808540223,0,0.0001222390839169867,0,0,0,0.00029158204200238895
oăn,0.00012478467593802787,6.535030525501184e-05,6.546540474854528e-05,1.8361335595175963e-05,0,0,0.0002739617215367609
oet,0,0,0.00014309893807298418,0,0,0.0001141364019752485,0.0002572353400482327
ươu,5.116808873180631e-05,0,8.856966003129104e-05,0,0,0.00011624632284936218,0.0002559840716124595
oach,0,0,3.5541341389841456e-05,0,0,0.0002163295361664458,0.00025187087755628725
ooc,0,0,0.00014619539655481056,0,0,9.073179951518402e-05,0.00023692719606999458
uôm,2.9730454093475226e-05,3.231752191094694e-05,2.4528631800653762e-05,0,4.1069994850798315e-05,0.00010875978600678331,0.00023640638866265755
ươp,0,0,0.0001782580722282784,0,0,4.345573918353963e-05,0.00022171381141181804
oac,0,0,0.00011155262378763731,0,0,0.00010119456820000685,0.00021274719198764415
oăng,4.193841844427893e-05,9.148597249049232e-05,3.954704696924783e-05,0,1.5263125244315586e-05,0,0.00018823456314833467
oăt,0,0,0.0001159550449913282,0,0,5.4952112089647444e-05,0.00017090715708097565
uây,3.919950085054311e-05,1.633852467438479e-05,3.456781029506975e-05,1.9327898317056914e-05,0,2.016455600545736e-05,0.00012959829014251193
ưn,9.523130383044585e-05,3.1114740822643506e-05,0,0,0,0,0.00012634604465308936
oen,6.550688230684834e-05,1.5009642539761304e-05,0,2.0774642768687303e-05,0,0,0.00010129116761529696
uêch,0,0,5.693098025800115e-05,0,0,3.865242188594043e-05,9.558340214394158e-05
oam,1.6537837299439846e-05,3.114433025364191e-05,0,0,0,3.5091185893625966e-05,8.277335344670772e-05
uyn,7.658290222935147e-05,0,0,0,0,0,7.658290222935147e-05
oeo,2.0362590350976003e-05,4.0549467124740325e-05,0,0,0,1.5412174856816554e-05,7.632423233253289e-05
uych,0,0,3.390290663760717e-05,0,0,3.4116495447705184e-05,6.801940208531235e-05
oăm,2.4208546632925454e-05,1.7504209848140767e-05,1.9173695683158366e-05,0,0,0,6.088645216422459e-05
uênh,1.847683587150417e-05,2.2261669830024925e-05,1.533395181157459e-05,0,0,0,5.6072457513103684e-05
uyu,0,0,0,2.7915240679149516e-05,0,2.1431481899598373e-05,4.934672257874789e-05
uya,4.8684591018700915e-05,0,0,0,0,0,4.8684591018700915e-05
ưm,0,3.09271978045841e-05,0,0,0,0,3.09271978045841e-05
uâng,2.19702746088964e-05,0,0,0,0,0,2.19702746088964e-05
oap,0,0,0,0,0,1.5707506193199404e-05,1.5707506193199404e-05
oem,1.5577921581116436e-05,0,0,0,0,0,1.5577921581116436e-05
